Vendor,Item Type,Name,Description,Quantity,Unit Price,Is Taxed,Is Track Inventory,Inventory Count,Unit Cost,Item Number 
,Service,Silver,"Weekly Chlorine, pH, and alkalinity treatment Semi-annually - Foundation chemical treatment and water balance (Additional $30 per treatment)",1,104,NO,NO,0,0,
,Service,Gold,"Weekly - Chlorine, pH, and alkalinity treatment - Debris removed from skimmer and pump baskets - Debris removed from pool sweep bag or canister - Pool surface skimmed - Pool walls and steps brushed - Pumps, filters, and controls checked for serviceability and proper operation Semi-annually - Foundation chemical treatment and water balance (Additional $30 per treatment) - Pump timers adjusted for seasonally appropriate cleaning, and solar heating where installed",1,145,NO,NO,0,0,
,Service,Silver+,"Weekly - Chlorine, pH, and alkalinity treatment - Debris removed from skimmer and pump baskets - Debris removed from pool sweep bag or canister - Pumps, filters, and controls checked for serviceability and proper operation Semi-annually - Foundation chemical treatment and water balance (Additional $30 per treatment)",1,145,NO,NO,0,0,
,Service,Platinum,"Weekly - Chlorine, pH, and alkalinity treatment - Debris removed from skimmer and pump baskets - Debris removed from pool sweep bag or canister - Pool surface skimmed - Pool walls and steps brushed - Debris removed from pool floor - Pumps, filters, and controls checked for serviceability and proper operation - Troubleshoot and repair minor problems (up to 1/4 hour) Semi-annually - Foundation chemical treatment and water balance (Additional $30 per treatment) - Pump timers adjusted for seasonally appropriate cleaning, and solar heating where installed",0,165,NO,NO,0,0,
,Service,Monthly Pool Service,,1,100,NO,NO,0,0,
,Service,Filter Cleaning - Standard Style Cartridge,,1,139,NO,NO,0,0,
,Service,Service Repair,,1,125,NO,NO,0,0,
,Service,Rola-Chem - Install,"Install Rola-Chem Pro Series 300 chemical feed system, including mounting, plumbing connections, electrical wiring, and calibration to ensure accurate and efficient chemical dosing.",1,725,NO,NO,0,0,50200
,Service,Pump - Replacement (Whisperflow),"Replace pool pump: remove old unit, install new pump with matching plumbing and electrical connections, test for proper operation and no leaks. Includes parts and labor.",1,2899,NO,NO,0,2899,50100
,Service,County Permit Filing,,1,250,NO,NO,0,0,
,Product,Rola Chem 15 gal Chemical Tank with Cover,"Durable, high-density polyethylene tank designed for safe and reliable storage of pool and spa chemicals. Features a compact footprint, secure lid to prevent spills, and compatibility with chemical feed systems for easy integration into your maintenance setup.",1,235,NO,NO,0,0,
,Product,Filter Cartridge - CCP420,,1,558,NO,NO,0,0,
,Product,Filter Cartridge - CCP520,,1,588,NO,NO,0,0,
,Product,Filter Cartridge - S7M120,,1,578,NO,NO,0,0,
